Date,ID,Days until next hedge,S,Dividend,C_BS,D_BS,C_mkt,D_Blm,R,TTM,Moneyness,D_Optimal,Target
2024-08-05,1,1,5186.33,1.4816,125.6150763,0.308576114,147.2,0.339,4.95853,228,-513.67,-0.398225357,-0.706801471
2024-10-30,10,1,5813.67,1.3177,53.18127815,0.300991982,28.9,0.324,4.78509,51,-186.33,0.12174205,-0.179249932
2024-11-25,10,1,5987.37,1.2907,68.73952035,0.509006552,29.35,0.521,4.76095,25,-12.63,0.199723506,-0.309283045
2024-09-19,12,1,5713.64,1.3462,16.41670759,0.106520232,18.9,0.119,4.7078,92,-486.36,0.234506661,0.12798643
2024-08-12,4,1,5344.39,1.4375,44.38154336,0.170410471,50.75,0.189,4.96403,221,-655.61,0.170329347,-8.11236E-05
2024-09-12,1,1,5595.76,1.3736,226.9981397,0.515269777,241.15,0.53,4.84198,190,-104.24,0.577404085,0.062134308
2024-10-15,9,1,5815.26,1.3209,101.887172,0.448403218,124.05,0.47,4.76965,66,-84.74,0.331499033,-0.116904185
2024-11-19,10,1,5916.98,1.3054,54.13175171,0.382583781,23.4,0.398,4.7679,31,-83.02,2.450439632,2.067855851
2024-08-26,11,1,5616.84,1.3683,23.1528212,0.133964025,25.9,0.146,4.93872,116,-483.16,0.017144609,-0.116819416
2024-08-08,9,1,5319.31,1.445,25.90331455,0.129189638,34.25,0.156,4.9504,134,-580.69,-0.186700177,-0.315889816
2024-11-12,4,1,5983.99,1.2925,217.4769967,0.561411876,230.65,0.588,4.7735,129,-16.01,1.400612882,0.839201007
2024-10-28,9,1,5823.52,1.3151,85.8742942,0.439393066,111.85,0.467,4.77389,53,-76.48,0.500552628,0.061159562
2024-11-07,6,1,5973.1,1.2938,112.2280905,0.381042563,121.25,0.4,4.74561,134,-226.9,0.348667468,-0.032375096
2024-08-05,9,1,5186.33,1.4816,24.82700175,0.111599723,37.4,0.146,4.95853,137,-713.67,-0.222482711,-0.334082434
2024-08-07,12,1,5199.5,1.4786,4.903937452,0.029592683,5.95,0.035,4.85962,135,-1000.5,0.012542381,-0.017050302
2024-11-04,6,1,5712.69,1.3391,46.47848025,0.195886827,51.25,0.209,4.74185,137,-487.31,0.191102366,-0.004784461
2024-11-18,2,1,5893.62,1.3109,287.0650199,0.640409045,302.6,0.665,4.76812,123,93.62,0.71066005,0.070251005
2024-11-12,6,1,5983.99,1.2925,112.0887837,0.385747996,121,0.412,4.7735,129,-216.01,-0.042442815,-0.428190811
2024-09-04,7,1,5520.07,1.3929,118.4939588,0.402851817,126.35,0.415,4.89094,107,-179.93,0.649080626,0.246228809
2024-09-17,11,1,5634.58,1.3645,20.50727748,0.125228817,24.35,0.143,4.76338,94,-465.42,0.087719157,-0.03750966
2024-10-23,10,1,5797.42,1.3226,52.98401183,0.29325212,29,0.31,4.79683,58,-202.58,0.004088481,-0.289163639
2024-09-12,12,1,5595.76,1.3736,8.936099538,0.062939948,10.15,0.07,4.84198,99,-604.24,0.06489556,0.001955612
2024-09-23,11,3,5718.57,1.3397,26.1613858,0.160258291,29.7,0.176,4.64276,88,-381.43,0.127469554,-0.032788736
2024-10-31,8,1,5705.45,1.3411,106.6543071,0.433782374,110.25,0.455,4.7692,50,-94.55,0.285226393,-0.148555981
2024-11-11,1,1,6001.35,1.2884,452.6846763,0.759979232,468.6,0.777,4.76371,130,301.35,0.754073866,-0.005905366
2024-09-30,4,3,5762.48,1.3305,144.6075283,0.406463805,149.45,0.419,4.62877,172,-237.52,0.274127584,-0.132336222
2024-11-14,12,1,5949.17,1.2985,10.57440134,0.117069047,11.55,0.124,4.77487,36,-250.83,0.067928878,-0.049140169
